reaction,biomass_type
transcription_TU00252_from_RpoD_mono,mRNA
transcription_TU0_5202_from_RpoD_mono,mRNA
transcription_TU0_14399_with_TERM0_1041_from_RpoD_mono,mRNA
transcription_TU0_13087_from_RpoD_mono,mRNA
transcription_TU0_14511_from_RpoD_mono,mRNA
transcription_TU00100_from_RpoD_mono,mRNA
transcription_TU0_7805_from_RpoD_mono,mRNA
transcription_TU0_13016_from_RpoD_mono,mRNA
transcription_TU00438_with_TERM72_from_RPOH_MONOMER,mRNA
transcription_TU0_4928_from_RpoD_mono,mRNA
transcription_TU401_with_TERM121_from_RpoD_mono,mRNA
transcription_TU00032_with_TERM0_1119_from_RpoD_mono,mRNA
transcription_TU00032_from_RpoD_mono,mRNA
transcription_TU0_14701_from_RpoD_mono,mRNA
transcription_TU0_13792_from_RpoD_mono,mRNA
transcription_TU0_8767_from_RpoD_mono,mRNA
transcription_TU0_5221_from_RpoD_mono,mRNA
transcription_TU0_13417_from_RpoD_mono,mRNA
transcription_TU00379_with_TERM65_from_RpoD_mono,mRNA
transcription_TU0_8611_from_RpoD_mono,mRNA
transcription_TU0_14272_from_RpoD_mono,mRNA
transcription_TU795_from_RpoD_mono,mRNA
transcription_TU795_from_RPOS_MONOMER,mRNA
transcription_TU0_1122_from_RpoD_mono,mRNA
transcription_TU0_14492_from_RpoD_mono,mRNA
transcription_TU0_4929_from_RpoD_mono,mRNA
transcription_TU0_13175_from_RpoD_mono,mRNA
transcription_TU0_12833_from_RpoD_mono,mRNA
transcription_TU0_36402_from_RpoD_mono,mRNA
transcription_TU0_7806_from_EG11355_MONOMER,mRNA
transcription_TU00188_from_RpoD_mono,mRNA
transcription_TU0_13088_from_RpoD_mono,mRNA
transcription_TU0_8360_from_RpoD_mono,mRNA
transcription_TU00101_from_RpoD_mono,mRNA
transcription_TU0_5261_from_RpoD_mono,mRNA
transcription_TU0_14402_from_RpoD_mono,mRNA
transcription_TU0_6583_from_RpoD_mono,mRNA
transcription_TU0_8480_from_RpoD_mono,mRNA
transcription_TU0_14702_from_RpoD_mono,mRNA
transcription_TU0_1741_from_RpoD_mono,mRNA
transcription_TU0_13549_from_RpoD_mono,mRNA
transcription_TU00172_from_RPON_MONOMER,mRNA
transcription_TU00439_from_RpoD_mono,mRNA
transcription_TU00305_from_RpoD_mono,mRNA
transcription_TU0_14004_from_RpoD_mono,mRNA
transcription_TU0_13656_from_RpoD_mono,mRNA
transcription_TU00380_with_TERM65_from_RpoD_mono,mRNA
transcription_TU0_7821_from_RpoD_mono,mRNA
transcription_TU0_12887_from_RpoD_mono,mRNA
transcription_TU0_5321_from_RpoD_mono,mRNA
transcription_TU0_8361_from_RpoD_mono,mRNA
transcription_TU796_from_RpoD_mono,mRNA
transcription_TU0_1123_from_RpoD_mono,mRNA
transcription_TU00103_from_RPOS_MONOMER,mRNA
transcription_TU0_1742_from_RpoD_mono,mRNA
transcription_TU0_14273_from_RpoD_mono,mRNA
transcription_TU00254_from_RpoD_mono,mRNA
transcription_TU0_4961_with_TERM0441_from_RpoD_mono,mRNA
transcription_TU0_14704_from_RpoD_mono,mRNA
transcription_TU0_14614_from_RpoD_mono,mRNA
